table_name,column_name,data_type,is_nullable
account_history,id,INT64,YES
account_history,updated_at,TIMESTAMP,YES
account_history,manager_customer_id,INT64,YES
account_history,auto_tagging_enabled,BOOL,YES
account_history,currency_code,STRING,YES
account_history,descriptive_name,STRING,YES
account_history,final_url_suffix,STRING,YES
account_history,hidden,BOOL,YES
account_history,manager,BOOL,YES
account_history,optimization_score,FLOAT64,YES
account_history,pay_per_conversion_eligibility_failure_reasons,STRING,YES
account_history,test_account,BOOL,YES
account_history,time_zone,STRING,YES
account_history,tracking_url_template,STRING,YES
account_history,_fivetran_synced,TIMESTAMP,YES
account_history,_fivetran_start,TIMESTAMP,YES
account_history,_fivetran_end,TIMESTAMP,YES
account_history,_fivetran_active,BOOL,YES
account_hourly_stats,customer_id,INT64,YES
account_hourly_stats,date,DATE,YES
account_hourly_stats,_fivetran_id,STRING,YES
account_hourly_stats,click_type,STRING,YES
account_hourly_stats,conversions,FLOAT64,YES
account_hourly_stats,month,DATE,YES
account_hourly_stats,interactions,INT64,YES
account_hourly_stats,year,INT64,YES
account_hourly_stats,average_cpm,FLOAT64,YES
account_hourly_stats,interaction_event_types,STRING,YES
account_hourly_stats,device,STRING,YES
account_hourly_stats,week,DATE,YES
account_hourly_stats,active_view_impressions,INT64,YES
account_hourly_stats,clicks,INT64,YES
account_hourly_stats,day_of_week,STRING,YES
account_hourly_stats,active_view_measurable_impressions,INT64,YES
account_hourly_stats,quarter,DATE,YES
account_hourly_stats,cost_per_conversion,FLOAT64,YES
account_hourly_stats,active_view_measurability,FLOAT64,YES
account_hourly_stats,average_cpc,FLOAT64,YES
account_hourly_stats,ctr,FLOAT64,YES
account_hourly_stats,conversions_value,FLOAT64,YES
account_hourly_stats,average_cost,FLOAT64,YES
account_hourly_stats,ad_network_type,STRING,YES
account_hourly_stats,interaction_rate,FLOAT64,YES
account_hourly_stats,impressions,INT64,YES
account_hourly_stats,active_view_viewability,FLOAT64,YES
account_hourly_stats,value_per_conversion,FLOAT64,YES
account_hourly_stats,hour,INT64,YES
account_hourly_stats,active_view_cpm,FLOAT64,YES
account_hourly_stats,active_view_ctr,FLOAT64,YES
account_hourly_stats,active_view_measurable_cost_micros,INT64,YES
account_hourly_stats,conversions_from_interactions_rate,FLOAT64,YES
account_hourly_stats,cost_micros,INT64,YES
account_hourly_stats,_fivetran_synced,TIMESTAMP,YES
account_label_history,account_id,INT64,YES
account_label_history,updated_at,TIMESTAMP,YES
account_label_history,label_id,INT64,YES
account_label_history,_fivetran_synced,TIMESTAMP,YES
account_label_history,_fivetran_start,TIMESTAMP,YES
account_label_history,_fivetran_end,TIMESTAMP,YES
account_label_history,_fivetran_active,BOOL,YES
account_stats,customer_id,INT64,YES
account_stats,date,DATE,YES
account_stats,_fivetran_id,STRING,YES
account_stats,conversions_value,FLOAT64,YES
account_stats,conversions,FLOAT64,YES
account_stats,interactions,INT64,YES
account_stats,ad_network_type,STRING,YES
account_stats,interaction_event_types,STRING,YES
account_stats,impressions,INT64,YES
account_stats,view_through_conversions,INT64,YES
account_stats,device,STRING,YES
account_stats,active_view_viewability,FLOAT64,YES
account_stats,active_view_impressions,INT64,YES
account_stats,clicks,INT64,YES
account_stats,active_view_measurable_impressions,INT64,YES
account_stats,active_view_measurable_cost_micros,INT64,YES
account_stats,active_view_measurability,FLOAT64,YES
account_stats,cost_micros,INT64,YES
account_stats,_fivetran_synced,TIMESTAMP,YES
ad_custom_parameter_history,ad_group_id,INT64,YES
ad_custom_parameter_history,ad_id,INT64,YES
ad_custom_parameter_history,sequence_id,INT64,YES
ad_custom_parameter_history,updated_at,TIMESTAMP,YES
ad_custom_parameter_history,key,STRING,YES
